Name,Gender,City,Age,Income,Risk Tolerance,Investment History,Financial Objective,Preferred Sector,Investment Frequency,Recommended Domain
EugÃ¨ne-Raymond Joseph,Women,Paris,27,34972.89,Medium,"Actions, Obligations",épargne de départ,Agriculture,Trimestriel,Obligations
Raymond Richard du Chauveau,Women,Paris,51,106594.14,High,"Actions, ETF, Immobilier",Épargne de sécurité,Technologie,Mensuel,Actions
JÃ©rÃ´me Roux,Man,Lyon,35,62287.89,High,"Cryptomonnaies, Obligations, ETF, Immobilier",Retraite,Santé,Trimestriel,ETF
GÃ©rard-Martin Ferrand,Women,Paris,39,68032.94,High,"Immobilier, Cryptomonnaies, Obligations",Retraite,Santé,Trimestriel,ETF
Roland FranÃ§ois,Women,Paris,52,80877.8,Medium,"Cryptomonnaies, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Maurice-Ã‰ric Leleu,Man,Lyon,35,20289.52,Medium,"Startups, Actions, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Colette Peron,Man,Nice,41,68619.98,High,"Cryptomonnaies, Obligations, Actions, Immobilier",Achat immobilier,Santé,Trimestriel,Actions
Valentine Jourdan,Women,Bordeaux,47,45092.6,Medium,"ETF, Obligations",Retraite,Finance,Trimestriel,ETF
NoÃ«l Baudry,Women,Strasbourg,36,48421.61,Medium,"Startups, Immobilier",éducation des enfants,Santé,Trimestriel,Actions
Ã‰mile Laporte-Richard,Women,Paris,47,62379.36,Medium,"Actions, Obligations",éducation des enfants,Technologie,Trimestriel,ETF
RÃ©my Le Munoz,Women,Toulouse,54,49248.85,Medium,"Actions, ETF",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Colette DuprÃ©,Women,Paris,46,63270.18,Medium,"ETF, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Ã‰lise Diaz,Man,Lyon,36,43641.17,Medium,"ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Martine Rocher,Women,Toulouse,40,51015.77,Medium,"Immobilier, ETF, Startups",Achat immobilier,Technologie,Trimestriel,ETF
Dominique Gonzalez,Man,Nantes,60,80812.38,Medium,"Investissement Socialement Responsable, Matières premières, Actions",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
AndrÃ©-FrÃ©dÃ©ric Dias,Man,Paris,35,46948.82,Medium,Obligations,Retraite,Immobilier,Trimestriel,Immobilier
Michelle Dumas,Man,Paris,28,46009.93,High,"Actions, Obligations",Investir dans l'éducation,Finance,Annuel,Actions
Ã‰tienne ChrÃ©tien,Man,Paris,47,85503.02,High,"Obligations, Matières premières, ETF, Immobilier",Retraite,Technologie,Mensuel,Actions
NoÃ©mi-FranÃ§oise Letellier,Man,Strasbourg,25,19113.41,Medium,"Investissement Socialement Responsable, Actions",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Paulette Lebon,Man,Lyon,35,52214.92,Medium,"Obligations, ETF, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
JÃ©rÃ´me de Hardy,Man,Strasbourg,45,47901.88,Medium,"ETF, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
Christiane Charpentier,Women,Lyon,25,15429.05,Medium,"Startups, Actions, Immobilier",Voyages,Industrie,Trimestriel,Obligations
Ã‰lÃ©onore Morel,Women,Lyon,35,48893.41,Medium,"Actions, ETF",Retraite,Consommation,Trimestriel,Obligations
DorothÃ©e Potier de la Rousset,Man,Nantes,28,37618.25,Medium,"Cryptomonnaies, ETF",épargne de départ,Immobilier,Trimestriel,Immobilier
Claude Diallo,Man,Paris,38,29014.7,Medium,"Cryptomonnaies, Actions",éducation des enfants,Consommation,Trimestriel,Obligations
Marine Bertin,Man,Paris,33,68078.25,High,"Immobilier, Cryptomonnaies, Matières premières, Obligations",Investir dans l'éducation,Santé,Trimestriel,ETF
Susanne de la Lopez,Man,Toulouse,66,76753.91,Medium,"Actions, Matières premières, ETF",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Marianne Hamel,Man,Marseille,36,58464.04,High,"Cryptomonnaies, Actions, Immobilier",Retraite,Technologie,Trimestriel,Actions
AimÃ©e Richard,Women,Montpellier,48,60341.93,Medium,"Startups, Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Jean Le Gall du Gillet,Women,Montpellier,43,63326.31,Medium,"Actions, Obligations",éducation des enfants,Finance,Trimestriel,Actions
Arthur Allard,Women,Lyon,25,51074.47,High,"Immobilier, Actions, ETF, Obligations",épargne de départ,Finance,Trimestriel,ETF
Valentine Ruiz,Man,Lyon,38,64457.29,High,"Cryptomonnaies, Obligations, Actions, Immobilier",éducation des enfants,Technologie,Trimestriel,ETF
Margaret-Ã‰milie Blondel,Man,Paris,46,69569.51,Medium,"Actions, Immobilier",Achat immobilier,Finance,Trimestriel,Actions
Victor Masson du Clerc,Man,Nantes,31,38263.33,Medium,"Immobilier, Actions, Obligations",Voyages,Industrie,Trimestriel,Obligations
Alexandrie RiviÃ¨re de Lagarde,Women,Paris,61,99461.89,Medium,"Immobilier, Actions, Fundraising",Retraite,Finance,Trimestriel,ETF
NoÃ«l Didier,Man,Lyon,29,37625.58,Medium,"Actions, Obligations",épargne de départ,Consommation,Trimestriel,Obligations
Alexandria Thibault,Man,Paris,38,74171.37,High,"Immobilier, Actions, Startups",Retraite,Technologie,Trimestriel,Startups
ClÃ©mence Benoit,Women,Toulouse,25,19536.22,Medium,"ETF, Fundraising",épargne de départ,Immobilier,Trimestriel,Immobilier
Raymond Pineau,Women,Paris,37,58626.95,Medium,"Immobilier, Cryptomonnaies, Obligations",Retraite,Finance,Trimestriel,ETF
Guillaume Fournier,Women,Lyon,43,91128.13,High,"Actions, Matières premières, Obligations",éducation des enfants,Finance,Mensuel,ETF
Henri Gros,Man,Toulouse,34,47254.91,Medium,"Actions, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
Arthur Costa de la Besson,Man,Marseille,41,70941.09,High,"Actions, Matières premières, ETF",Achat immobilier,Finance,Trimestriel,ETF
Laetitia Guyot,Women,Strasbourg,43,40575.74,Medium,"Obligations, Startups",éducation des enfants,Technologie,Trimestriel,ETF
Alexandre Bernard,Man,Paris,25,14322.43,Medium,"Actions, ETF",épargne de départ,Industrie,Trimestriel,Obligations
TimothÃ©e Gimenez de Peltier,Women,Paris,45,65393.22,Medium,ETF,Achat immobilier,Santé,Trimestriel,ETF
Patricia Boutin de la Turpin,Man,Strasbourg,38,44078.63,Medium,Obligations,Achat immobilier,Immobilier,Trimestriel,Immobilier
Victor Barthelemy,Women,Lyon,58,74285.59,Medium,Actions,Retraite,Immobilier,Trimestriel,Immobilier
Christophe Joubert,Man,Nice,37,52295.64,Medium,Immobilier,Retraite,Technologie,Trimestriel,ETF
David Jacquot de la Jacquot,Women,Lyon,61,107692.15,Medium,"Cryptomonnaies, ETF",Retraite,Immobilier,Trimestriel,Immobilier
Richard Schneider,Women,Marseille,52,44401.76,Medium,"Actions, ETF, Fundraising",Épargne de sécurité,Finance,Trimestriel,ETF
Guillaume Bernard,Women,Bordeaux,31,35473.54,Medium,"Obligations, Actions, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
ThÃ©rÃ¨se Roche-Regnier,Women,Lyon,65,90234.5,Medium,"ETF, Obligations",Retraite,Industrie,Trimestriel,Obligations
SÃ©bastien Lopez,Women,Marseille,51,86273.39,Medium,"Cryptomonnaies, ETF",Retraite,Agriculture,Trimestriel,Obligations
Richard Rodrigues,Women,Nice,35,45963.43,Medium,"MatiÃ¨res premiÃ¨res, ETF, Immobilier",Achat immobilier,Finance,Trimestriel,ETF
Adrien-Gilbert Masse,Women,Lille,28,29839.7,Medium,"Actions, ETF",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Victor Bouchet,Man,Nice,44,76386.46,High,"Actions, ETF, Obligations",Retraite,Santé,Trimestriel,Actions
Thibaut du Gaudin,Man,Paris,45,71648.72,Medium,"Cryptomonnaies, Actions, Obligations",éducation des enfants,Technologie,Trimestriel,ETF
Charles Le Pires,Women,Paris,29,65435.91,High,"Actions, Matières premières, ETF",Voyages,Technologie,Trimestriel,ETF
Josette Mahe,Women,Lyon,60,139762.79,High,"Immobilier, Actions, ETF, Obligations",Retraite,Santé,Mensuel,Actions
Thibaut Delannoy-Muller,Man,Marseille,28,44893.01,High,"MatiÃ¨res premiÃ¨res, Actions, Obligations",épargne de départ,Immobilier,Annuel,Immobilier
FranÃ§oise Benoit,Man,Nantes,63,76363.29,Medium,ETF,Retraite,Immobilier,Trimestriel,Immobilier
Pauline Potier,Women,Lyon,25,24140.99,Medium,"Investissement Socialement Responsable, Matières premières, Actions",épargne de départ,Consommation,Trimestriel,Obligations
Laetitia Le Gall de la Gaudin,Man,Lyon,38,57534.48,Medium,"Actions, Obligations",Achat immobilier,Santé,Trimestriel,ETF
Ã‰douard Bertin,Man,Paris,31,39073.15,Medium,"Obligations, Immobilier",épargne de départ,Industrie,Trimestriel,Obligations
Isaac Perrier,Man,Paris,38,58489.25,Medium,"ETF, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Paul-Daniel Lagarde,Women,Paris,56,64075.57,Medium,"ETF, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Marthe HervÃ©,Man,Bordeaux,25,39516.64,High,"Cryptomonnaies, Actions, Obligations",épargne de départ,Immobilier,Annuel,Immobilier
Roger MarÃ©chal,Women,Nantes,38,52394.76,Medium,"Cryptomonnaies, ETF, Startups",Retraite,Immobilier,Trimestriel,Immobilier
GrÃ©goire Texier,Man,Montpellier,49,75447.64,Medium,"Immobilier, Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Jules-Thibaut Pereira,Man,Paris,37,78886.86,High,"Obligations, Matières premières, ETF, Startups",éducation des enfants,Technologie,Trimestriel,Actions
Christine Descamps,Man,Lyon,25,33890.22,High,"Obligations, Actions, ETF, Immobilier",épargne de départ,Agriculture,Annuel,Obligations
BenoÃ®t Becker,Man,Nice,55,90708.25,Medium,"Cryptomonnaies, Immobilier",Épargne de sécurité,Santé,Trimestriel,ETF
Gilles Paris,Women,Toulouse,50,52117.34,Medium,"Actions, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Lorraine Millet,Women,Marseille,42,29469.32,Medium,Actions,Retraite,Technologie,Trimestriel,ETF
Christelle Vincent-Garnier,Man,Lille,32,8839.03,Medium,"Investissement Socialement Responsable, Actions, Fundraising",épargne de départ,Agriculture,Trimestriel,Obligations
Alphonse Adam du Denis,Women,Paris,42,64489.32,Medium,"MatiÃ¨res premiÃ¨res, ETF",Retraite,Industrie,Trimestriel,Obligations
Laurence Allain,Man,Strasbourg,49,57572.04,Medium,"Actions, ETF, Obligations",Retraite,Finance,Trimestriel,ETF
Marie Launay,Women,Toulouse,25,27242.58,Medium,"MatiÃ¨res premiÃ¨res, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
TimothÃ©e Maury du Verdier,Man,Nice,32,52623,High,"Startups, Actions, Obligations",épargne de départ,Finance,Trimestriel,ETF
Ã‰ric Allain,Women,Paris,37,59375.69,High,"MatiÃ¨res premiÃ¨res, ETF",Retraite,Technologie,Trimestriel,Actions
Thibaut LÃ©ger,Man,Bordeaux,50,60691.85,Medium,"Actions, ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
William Chevallier,Women,Nantes,50,43649.97,Medium,"Actions, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Christophe Bernier,Women,Nantes,34,34116.36,Medium,"Cryptomonnaies, Actions",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Camille Torres,Man,Lyon,36,62999.02,High,"Actions, Obligations",Retraite,Santé,Trimestriel,Actions
FranÃ§ois Bonnin de la LefÃ¨vre,Women,Paris,49,71071.33,Medium,Immobilier,éducation des enfants,Immobilier,Trimestriel,Immobilier
GrÃ©goire Fischer-Fernandes,Women,Paris,34,54622.43,High,"Actions, ETF, Immobilier",Voyages,Santé,Trimestriel,ETF
Yves Klein,Man,Paris,46,133412.98,High,"Cryptomonnaies, Actions, ETF",Retraite,Finance,Mensuel,Actions
Denise Le Gauthier,Man,Paris,25,34126.78,High,"Actions, Matières premières, Obligations",Investir dans l'éducation,Agriculture,Annuel,Obligations
VÃ©ronique Gilbert-Menard,Women,Marseille,25,26881,Medium,"Actions, Obligations",Investir dans l'éducation,Industrie,Trimestriel,Obligations
Julien Germain,Man,Montpellier,31,38054.69,Medium,Actions,Voyages,Consommation,Trimestriel,Obligations
JosÃ©phine Carpentier,Women,Lille,66,44581.84,Low,"MatiÃ¨res premiÃ¨res, Actions",Retraite,Immobilier,Annuel,Immobilier
Martin Poulain,Man,Paris,51,101917.43,High,"Actions, ETF, Immobilier",Retraite,Finance,Mensuel,Actions
Joseph Gauthier,Man,Toulouse,47,41079.06,Medium,"Startups, Actions, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
Vincent Merle,Women,Paris,40,53167.94,Medium,"Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Emmanuelle de Germain,Man,Marseille,25,32590.99,High,"Startups, ETF, Obligations",Investir dans l'éducation,Consommation,Annuel,Obligations
Antoinette Martel-Chauveau,Man,Bordeaux,37,42098.99,Medium,"Cryptomonnaies, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Charles-David Hoareau,Man,Marseille,41,41761.85,Medium,"Immobilier, Obligations",Achat immobilier,Finance,Trimestriel,Actions
Laetitia Boulay,Women,Marseille,41,42667.61,Medium,"Obligations, ETF, Immobilier",Retraite,Santé,Trimestriel,ETF
Ã‰ric Le Vidal,Women,Lyon,46,81065.9,High,"Actions, Obligations",Achat immobilier,Technologie,Mensuel,ETF
Pierre Hamel,Man,Lille,27,21950.44,Medium,"Actions, Fundraising",Investir dans l'éducation,Consommation,Trimestriel,Obligations
ValÃ©rie Mary,Man,Montpellier,54,56464.14,Medium,"Obligations, Actions, Immobilier",Retraite,Finance,Trimestriel,ETF
Thibaut Vincent,Women,Toulouse,27,6134.58,Medium,"Immobilier, ETF, Startups",Voyages,Industrie,Trimestriel,Obligations
Christiane Bonnet,Man,Marseille,44,38518.31,Medium,"Actions, Obligations",éducation des enfants,Industrie,Trimestriel,Obligations
Marine Gallet,Man,Paris,46,44243.9,Medium,"MatiÃ¨res premiÃ¨res, ETF",Retraite,Finance,Trimestriel,ETF
Victor Fernandes,Women,Nantes,57,66215.02,Medium,"Cryptomonnaies, Investissement Socialement Responsable, ETF",Retraite,Finance,Trimestriel,ETF
Maryse Valentin,Man,Lille,66,62758,Medium,"Cryptomonnaies, Actions",Retraite,Agriculture,Trimestriel,Obligations
Patrick Allard,Man,Toulouse,32,32815.03,Medium,"Startups, Immobilier",épargne de départ,Agriculture,Trimestriel,Obligations
Michelle Colin,Man,Paris,26,39793.18,High,"Immobilier, Actions, ETF, Obligations",épargne de départ,Agriculture,Annuel,Obligations
Monique-RenÃ©e Charles,Women,Marseille,44,33552.89,Medium,"Cryptomonnaies, Matières premières",éducation des enfants,Agriculture,Trimestriel,Obligations
Margot Delorme,Women,Toulouse,33,24782.23,Medium,"Cryptomonnaies, Obligations, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
Adrien Aubert,Man,Lyon,28,46354.1,High,"Startups, Obligations",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Margaux Jacques Le Hebert,Man,Paris,37,56522.16,Medium,"Cryptomonnaies, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Gabriel Jacquet,Man,Paris,42,49180.06,Medium,"Actions, Immobilier",éducation des enfants,Technologie,Trimestriel,ETF
Paul du Blin,Man,Paris,34,51933.91,Medium,"Obligations, Fundraising",Investir dans l'éducation,Finance,Trimestriel,Actions
Paulette Jacquot de Barthelemy,Women,Paris,26,38964.67,High,"Cryptomonnaies, ETF, Immobilier",Voyages,Industrie,Annuel,Obligations
Suzanne Dos Santos,Women,Paris,51,93093.87,High,Actions,Retraite,Santé,Mensuel,ETF
Robert Barbier Le Giraud,Man,Paris,55,129843.42,High,Obligations,Épargne de sécurité,Technologie,Mensuel,ETF
Louise Muller,Women,Paris,27,31013,Medium,Actions,Investir dans l'éducation,Consommation,Trimestriel,Obligations
William Foucher,Women,Nantes,34,44137.08,Medium,"Actions, Matières premières",Voyages,Immobilier,Trimestriel,Immobilier
Chantal Godard,Women,Toulouse,28,44128.66,High,"Investissement Socialement Responsable, Matières premières, Cryptomonnaies, ETF, Obligations",épargne de départ,Technologie,Annuel,ETF
Henriette Marin,Women,Nice,39,74375.53,High,"Immobilier, Actions, Obligations",Retraite,Technologie,Trimestriel,Startups
Martin Meyer,Women,Marseille,35,31710.29,Medium,"Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Roland Verdier,Man,Paris,39,80202.84,High,"Cryptomonnaies, Actions, ETF",éducation des enfants,Technologie,Mensuel,Startups
Anastasie Dumont Le Besnard,Women,Lyon,39,75805.24,High,"Actions, ETF, Obligations",Retraite,Finance,Trimestriel,Actions
ZoÃ© Laine,Women,Paris,32,49423.68,High,"Startups, Actions, ETF, Fundraising",Investir dans l'éducation,Finance,Annuel,ETF
FrÃ©dÃ©ric Joly,Man,Paris,58,99767.69,Medium,"Cryptomonnaies, Matières premières",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Joseph Guilbert,Women,Lyon,25,38368.01,High,"Cryptomonnaies, ETF, Immobilier",épargne de départ,Immobilier,Annuel,Immobilier
Alexandrie Bouchet de Brunel,Women,Lyon,35,41088.23,Medium,"MatiÃ¨res premiÃ¨res, Actions",Retraite,Santé,Trimestriel,ETF
Pauline Jacquet de la Fournier,Man,Nice,36,51812.28,Medium,"Actions, Obligations",éducation des enfants,Technologie,Trimestriel,ETF
Marthe Masson,Man,Lyon,50,120919.74,High,"MatiÃ¨res premiÃ¨res, Actions, ETF, Obligations",Retraite,Finance,Mensuel,Actions
BenoÃ®t du Leconte,Women,Lyon,50,87161.56,Medium,"Startups, Obligations, Immobilier",Retraite,Technologie,Trimestriel,ETF
David Petit,Women,Paris,60,131077.4,High,"Cryptomonnaies, Matières premières, Obligations",Retraite,Technologie,Mensuel,Actions
Tristan Gomez-Philippe,Man,Marseille,44,97648.05,High,"Actions, ETF, Startups",Retraite,Finance,Mensuel,ETF
Roland-Bernard Dupont,Man,Paris,57,114799.06,High,"Actions, Matières premières, Obligations",Retraite,Technologie,Mensuel,Actions
AimÃ© Bazin,Women,Lyon,36,61403.89,High,"Obligations, Actions, Immobilier",Retraite,Finance,Trimestriel,ETF
Alphonse LemaÃ®tre,Women,Marseille,58,47370.32,Medium,Cryptomonnaies,Retraite,Agriculture,Trimestriel,Obligations
Margot Richard,Women,Lille,44,47572.7,Medium,"Cryptomonnaies, Actions",Achat immobilier,Immobilier,Trimestriel,Immobilier
NoÃ«l Gautier,Women,Lyon,43,69335.69,Medium,"Immobilier, Matières premières, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Xavier Auger,Man,Toulouse,60,70051.62,Medium,"Immobilier, Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Emmanuel Alexandre,Women,Montpellier,58,106694.47,High,"Obligations, Actions, Immobilier",Retraite,Technologie,Mensuel,ETF
AimÃ© de Lenoir,Women,Paris,49,85169.59,Medium,"Cryptomonnaies, ETF",Achat immobilier,Immobilier,Trimestriel,Immobilier
Margaux Pottier,Women,Montpellier,59,68441.04,Medium,"Actions, Obligations",Épargne de sécurité,Consommation,Trimestriel,Obligations
Arthur Dupont-Bernard,Man,Nice,25,18166.23,Medium,"Cryptomonnaies, Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Claudine Le Dubois,Man,Nice,44,65565.23,Medium,"Cryptomonnaies, Actions, Fundraising",éducation des enfants,Technologie,Trimestriel,ETF
AimÃ© Reynaud,Women,Nice,42,71314.48,High,"Actions, Investissement Socialement Responsable, Immobilier",Achat immobilier,Santé,Trimestriel,Actions
PÃ©nÃ©lope Louis Le Marin,Women,Lyon,49,89969.51,High,"Actions, ETF, Startups",éducation des enfants,Finance,Mensuel,ETF
Caroline Le Gilbert,Man,Paris,50,87366.6,Medium,"Actions, Obligations",Épargne de sécurité,Agriculture,Trimestriel,Obligations
Maurice Boucher,Women,Paris,41,69229.7,High,"Actions, ETF",Achat immobilier,Santé,Trimestriel,Actions
PÃ©nÃ©lope Pruvost,Women,Marseille,40,50141.57,Medium,Immobilier,éducation des enfants,Finance,Trimestriel,Actions
Corinne Breton,Women,Paris,31,32994.34,Medium,"Cryptomonnaies, Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Henriette Lebreton-Ã‰tienne,Man,Strasbourg,41,50937.82,Medium,"Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Nicolas Boutin de Bourdon,Women,Lyon,54,159556.71,High,"Cryptomonnaies, Fundraising, Obligations",Retraite,Technologie,Mensuel,Actions
Sylvie Richard de la Pruvost,Man,Nantes,55,24490.86,Low,Actions,Retraite,Immobilier,Annuel,Immobilier
Julien Simon,Women,Paris,25,43913.77,High,"Cryptomonnaies, Actions, ETF, Obligations",épargne de départ,Santé,Annuel,ETF
Georges Andre-Maurice,Man,Nice,39,55586.17,Medium,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Finance,Trimestriel,ETF
AurÃ©lie Olivier,Women,Marseille,27,18481.8,Medium,"Actions, Obligations",épargne de départ,Consommation,Trimestriel,Obligations
Alix-AdÃ¨le Descamps,Man,Paris,36,53221.04,Medium,"Actions, Obligations",Retraite,Technologie,Trimestriel,ETF
Roland Munoz,Women,Nice,50,134743.13,High,"MatiÃ¨res premiÃ¨res, Actions, ETF, Obligations",Retraite,Technologie,Mensuel,ETF
Alix de la Berger,Women,Paris,44,72993.93,Medium,"Actions, Obligations",Achat immobilier,Finance,Trimestriel,ETF
VÃ©ronique Lopes,Man,Paris,42,54456.49,Medium,Actions,Achat immobilier,Finance,Trimestriel,Actions
Emmanuelle Marty,Women,Marseille,43,57476.81,Medium,"Actions, Immobilier",éducation des enfants,Santé,Trimestriel,ETF
Marcel Bourdon,Man,Lyon,59,29358.31,Low,"Cryptomonnaies, ETF",Épargne de sécurité,Immobilier,Annuel,Immobilier
Adrien de la Guilbert,Man,Toulouse,46,43986.99,Medium,"Actions, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Claude Legros de la Gimenez,Man,Toulouse,44,47619.66,Medium,"Actions, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Daniel Maury-Vincent,Man,Paris,51,88245.15,Medium,"Obligations, ETF, Immobilier",Retraite,Santé,Trimestriel,ETF
AnaÃ¯s Maury,Man,Nice,32,65196.87,High,"Actions, ETF, Immobilier",Investir dans l'éducation,Santé,Trimestriel,Actions
Odette Lopes,Man,Nice,32,69719.45,High,"Startups, Actions, ETF, Obligations",épargne de départ,Finance,Trimestriel,Actions
SÃ©bastien du Buisson,Women,Paris,50,89367.91,High,"Actions, Obligations",Retraite,Santé,Mensuel,ETF
Claude-Anne Hernandez,Women,Paris,36,72798.35,High,"Cryptomonnaies, Actions, Fundraising, Obligations",Achat immobilier,Technologie,Trimestriel,Cryptomonnaies
Augustin du LÃ©vy,Man,Paris,39,33013.37,Medium,"Startups, Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Christine Klein de la Carre,Man,Strasbourg,67,66765.55,Medium,"Obligations, Startups",Épargne de sécurité,Technologie,Trimestriel,ETF
BenoÃ®t Lecomte,Women,Lyon,56,119484.89,High,"Actions, Obligations",Retraite,Technologie,Mensuel,ETF
GÃ©rard-StÃ©phane Dos Santos,Man,Toulouse,37,67226.7,High,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Finance,Trimestriel,Actions
David Lebreton,Women,Lyon,45,60364.7,Medium,"Actions, ETF",Retraite,Consommation,Trimestriel,Obligations
Dominique Delannoy,Man,Bordeaux,37,59632.76,High,"Immobilier, Obligations",Achat immobilier,Technologie,Trimestriel,ETF
Roger Mallet,Man,Toulouse,35,55580.58,High,"Cryptomonnaies, Actions, Matières premières, Obligations",Retraite,Santé,Trimestriel,Actions
Paulette Nguyen,Man,Paris,47,79094.39,Medium,"Cryptomonnaies, Actions, ETF",Retraite,Industrie,Trimestriel,Obligations
Audrey Chauvet,Women,Paris,25,26168.81,Medium,"Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Claude Carpentier,Women,Paris,25,30056.84,Medium,"Immobilier, Startups",épargne de départ,Immobilier,Trimestriel,Immobilier
Olivie Pruvost,Women,Strasbourg,44,53795.45,Medium,"Actions, Immobilier",Retraite,Finance,Trimestriel,ETF
FranÃ§oise Le Roux,Man,Nantes,33,53571.9,High,"Cryptomonnaies, Actions, ETF, Immobilier",épargne de départ,Finance,Trimestriel,ETF
David Olivier,Women,Montpellier,29,27005.16,Medium,"Immobilier, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Augustin Imbert,Women,Nice,56,136803.13,High,"Immobilier, Obligations, Startups",Épargne de sécurité,Technologie,Mensuel,Actions
AimÃ© du Bousquet,Man,Paris,37,63313.64,High,"Cryptomonnaies, Actions, Matières premières",Achat immobilier,Technologie,Trimestriel,ETF
Antoine-Jules Meunier,Man,Nice,35,63048.86,High,"Cryptomonnaies, Matières premières, ETF",éducation des enfants,Santé,Trimestriel,ETF
Hortense Charles,Women,Paris,54,65048.28,Medium,"Cryptomonnaies, ETF",Épargne de sécurité,Finance,Trimestriel,ETF
Julien Ferreira,Women,Paris,25,32690.42,High,"Actions, Startups",Investir dans l'éducation,Agriculture,Annuel,Obligations
Richard Potier,Women,Lyon,58,157558.81,High,"Actions, ETF, Obligations",Retraite,Finance,Mensuel,ETF
Madeleine Maurice,Women,Bordeaux,44,46502.84,Medium,"Actions, ETF, Obligations",Retraite,Industrie,Trimestriel,Obligations
Aurore Perrot,Women,Montpellier,40,50369.52,Medium,"Startups, ETF, Immobilier",Achat immobilier,Finance,Trimestriel,ETF
Michel Julien,Women,Marseille,39,74105.59,High,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Technologie,Trimestriel,Cryptomonnaies
Philippine Chevalier de Perrin,Man,Marseille,40,21177.5,Medium,Cryptomonnaies,éducation des enfants,Immobilier,Trimestriel,Immobilier
Christelle BÃ¨gue,Women,Lyon,25,25812.23,Medium,"ETF, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Margaret-Pauline Navarro,Women,Paris,29,57141.7,High,"Obligations, Actions, Startups",Investir dans l'éducation,Technologie,Trimestriel,Actions
Philippe Moreno,Women,Paris,44,77248.55,High,"Obligations, Actions, Immobilier",éducation des enfants,Finance,Trimestriel,ETF
AdÃ©laÃ¯de Lecomte,Women,Marseille,42,32454.11,Medium,"Cryptomonnaies, Actions, Obligations",Retraite,Santé,Trimestriel,ETF
Alex Besson,Man,Strasbourg,35,47056.69,Medium,"Actions, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
Jeannine Charpentier,Man,Lyon,53,99282.04,High,"Cryptomonnaies, Actions, Obligations",Retraite,Finance,Mensuel,Actions
Lucie Moulin,Man,Paris,49,84150.9,Medium,"Immobilier, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
AimÃ© Le Traore,Man,Nice,32,53795.86,High,"MatiÃ¨res premiÃ¨res, Actions, Immobilier, ETF, Obligations",Investir dans l'éducation,Finance,Trimestriel,Actions
Adrienne Da Silva,Women,Lyon,42,70948.24,High,"Actions, Obligations",Achat immobilier,Santé,Trimestriel,Actions
Ã‰lÃ©onore du Brun,Women,Nantes,61,82058.62,Medium,"Actions, Immobilier",Épargne de sécurité,Industrie,Trimestriel,Obligations
Alfred Durand,Man,Marseille,68,83839.95,Medium,"ETF, Obligations",Retraite,Consommation,Trimestriel,Obligations
