Nom,Genre,Ville,Age,Revenu,Tolérance au Risque,Historique d'Investissement,Objectif Financier,Secteur Préféré,Fréquence d'Investissement,Domaine Recommandé
Maurice Bouvier,Homme,Nice,46,104352.76,Élevé,"Cryptomonnaies, Actions, ETF",Retraite,Santé,Mensuel,Actions
Thibault Le Maillet,Femme,Lyon,51,95744.43,Élevé,"Cryptomonnaies, Obligations, Actions, Immobilier",Épargne de sécurité,Technologie,Mensuel,Actions
Margaud Boucher de Tanguy,Femme,Paris,43,52846.58,Moyen,"Immobilier, Fundraising",Retraite,Finance,Trimestriel,ETF
Arnaude Ruiz-Gauthier,Femme,Paris,45,111579.08,Élevé,"Startups, Cryptomonnaies, ETF, Immobilier",Achat immobilier,Technologie,Mensuel,ETF
Gabrielle Delmas de la Picard,Femme,Paris,64,116866.81,Moyen,"ETF, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
StÃ©phane Jourdan,Femme,Paris,51,106306.93,Élevé,"Obligations, Matières premières, Actions, Immobilier",Retraite,Santé,Mensuel,ETF
Guillaume Becker,Homme,Bordeaux,57,92940.22,Moyen,"Investissement Socialement Responsable, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Madeleine Teixeira,Homme,Marseille,70,77324.9,Moyen,"Immobilier, Actions, Startups",Retraite,Finance,Trimestriel,ETF
EugÃ¨ne-Raymond Joseph,Femme,Paris,27,34972.89,Moyen,"Actions, Obligations",épargne de départ,Agriculture,Trimestriel,Obligations
Raymond Richard du Chauveau,Femme,Paris,51,106594.14,Élevé,"Actions, ETF, Immobilier",Épargne de sécurité,Technologie,Mensuel,Actions
JÃ©rÃ´me Roux,Homme,Lyon,35,62287.89,Élevé,"Cryptomonnaies, Obligations, ETF, Immobilier",Retraite,Santé,Trimestriel,ETF
GÃ©rard-Martin Ferrand,Femme,Paris,39,68032.94,Élevé,"Immobilier, Cryptomonnaies, Obligations",Retraite,Santé,Trimestriel,ETF
Roland FranÃ§ois,Femme,Paris,52,80877.8,Moyen,"Cryptomonnaies, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Maurice-Ã‰ric Leleu,Homme,Lyon,35,20289.52,Moyen,"Startups, Actions, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Colette Peron,Homme,Nice,41,68619.98,Élevé,"Cryptomonnaies, Obligations, Actions, Immobilier",Achat immobilier,Santé,Trimestriel,Actions
Valentine Jourdan,Femme,Bordeaux,47,45092.6,Moyen,"ETF, Obligations",Retraite,Finance,Trimestriel,ETF
NoÃ«l Baudry,Femme,Strasbourg,36,48421.61,Moyen,"Startups, Immobilier",éducation des enfants,Santé,Trimestriel,Actions
Ã‰mile Laporte-Richard,Femme,Paris,47,62379.36,Moyen,"Actions, Obligations",éducation des enfants,Technologie,Trimestriel,ETF
RÃ©my Le Munoz,Femme,Toulouse,54,49248.85,Moyen,"Actions, ETF",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Colette DuprÃ©,Femme,Paris,46,63270.18,Moyen,"ETF, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Ã‰lise Diaz,Homme,Lyon,36,43641.17,Moyen,"ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Martine Rocher,Femme,Toulouse,40,51015.77,Moyen,"Immobilier, ETF, Startups",Achat immobilier,Technologie,Trimestriel,ETF
Dominique Gonzalez,Homme,Nantes,60,80812.38,Moyen,"Investissement Socialement Responsable, Matières premières, Actions",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
AndrÃ©-FrÃ©dÃ©ric Dias,Homme,Paris,35,46948.82,Moyen,Obligations,Retraite,Immobilier,Trimestriel,Immobilier
Michelle Dumas,Homme,Paris,28,46009.93,Élevé,"Actions, Obligations",Investir dans l'éducation,Finance,Annuel,Actions
Ã‰tienne ChrÃ©tien,Homme,Paris,47,85503.02,Élevé,"Obligations, Matières premières, ETF, Immobilier",Retraite,Technologie,Mensuel,Actions
NoÃ©mi-FranÃ§oise Letellier,Homme,Strasbourg,25,19113.41,Moyen,"Investissement Socialement Responsable, Actions",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Paulette Lebon,Homme,Lyon,35,52214.92,Moyen,"Obligations, ETF, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
JÃ©rÃ´me de Hardy,Homme,Strasbourg,45,47901.88,Moyen,"ETF, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
Christiane Charpentier,Femme,Lyon,25,15429.05,Moyen,"Startups, Actions, Immobilier",Voyages,Industrie,Trimestriel,Obligations
Ã‰lÃ©onore Morel,Femme,Lyon,35,48893.41,Moyen,"Actions, ETF",Retraite,Consommation,Trimestriel,Obligations
DorothÃ©e Potier de la Rousset,Homme,Nantes,28,37618.25,Moyen,"Cryptomonnaies, ETF",épargne de départ,Immobilier,Trimestriel,Immobilier
Claude Diallo,Homme,Paris,38,29014.7,Moyen,"Cryptomonnaies, Actions",éducation des enfants,Consommation,Trimestriel,Obligations
Marine Bertin,Homme,Paris,33,68078.25,Élevé,"Immobilier, Cryptomonnaies, Matières premières, Obligations",Investir dans l'éducation,Santé,Trimestriel,ETF
Susanne de la Lopez,Homme,Toulouse,66,76753.91,Moyen,"Actions, Matières premières, ETF",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Marianne Hamel,Homme,Marseille,36,58464.04,Élevé,"Cryptomonnaies, Actions, Immobilier",Retraite,Technologie,Trimestriel,Actions
AimÃ©e Richard,Femme,Montpellier,48,60341.93,Moyen,"Startups, Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Jean Le Gall du Gillet,Femme,Montpellier,43,63326.31,Moyen,"Actions, Obligations",éducation des enfants,Finance,Trimestriel,Actions
Arthur Allard,Femme,Lyon,25,51074.47,Élevé,"Immobilier, Actions, ETF, Obligations",épargne de départ,Finance,Trimestriel,ETF
Valentine Ruiz,Homme,Lyon,38,64457.29,Élevé,"Cryptomonnaies, Obligations, Actions, Immobilier",éducation des enfants,Technologie,Trimestriel,ETF
Margaret-Ã‰milie Blondel,Homme,Paris,46,69569.51,Moyen,"Actions, Immobilier",Achat immobilier,Finance,Trimestriel,Actions
Victor Masson du Clerc,Homme,Nantes,31,38263.33,Moyen,"Immobilier, Actions, Obligations",Voyages,Industrie,Trimestriel,Obligations
Alexandrie RiviÃ¨re de Lagarde,Femme,Paris,61,99461.89,Moyen,"Immobilier, Actions, Fundraising",Retraite,Finance,Trimestriel,ETF
NoÃ«l Didier,Homme,Lyon,29,37625.58,Moyen,"Actions, Obligations",épargne de départ,Consommation,Trimestriel,Obligations
Alexandria Thibault,Homme,Paris,38,74171.37,Élevé,"Immobilier, Actions, Startups",Retraite,Technologie,Trimestriel,Startups
ClÃ©mence Benoit,Femme,Toulouse,25,19536.22,Moyen,"ETF, Fundraising",épargne de départ,Immobilier,Trimestriel,Immobilier
Raymond Pineau,Femme,Paris,37,58626.95,Moyen,"Immobilier, Cryptomonnaies, Obligations",Retraite,Finance,Trimestriel,ETF
Guillaume Fournier,Femme,Lyon,43,91128.13,Élevé,"Actions, Matières premières, Obligations",éducation des enfants,Finance,Mensuel,ETF
Henri Gros,Homme,Toulouse,34,47254.91,Moyen,"Actions, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
Arthur Costa de la Besson,Homme,Marseille,41,70941.09,Élevé,"Actions, Matières premières, ETF",Achat immobilier,Finance,Trimestriel,ETF
Laetitia Guyot,Femme,Strasbourg,43,40575.74,Moyen,"Obligations, Startups",éducation des enfants,Technologie,Trimestriel,ETF
Alexandre Bernard,Homme,Paris,25,14322.43,Moyen,"Actions, ETF",épargne de départ,Industrie,Trimestriel,Obligations
TimothÃ©e Gimenez de Peltier,Femme,Paris,45,65393.22,Moyen,ETF,Achat immobilier,Santé,Trimestriel,ETF
Patricia Boutin de la Turpin,Homme,Strasbourg,38,44078.63,Moyen,Obligations,Achat immobilier,Immobilier,Trimestriel,Immobilier
Victor Barthelemy,Femme,Lyon,58,74285.59,Moyen,Actions,Retraite,Immobilier,Trimestriel,Immobilier
Christophe Joubert,Homme,Nice,37,52295.64,Moyen,Immobilier,Retraite,Technologie,Trimestriel,ETF
David Jacquot de la Jacquot,Femme,Lyon,61,107692.15,Moyen,"Cryptomonnaies, ETF",Retraite,Immobilier,Trimestriel,Immobilier
Richard Schneider,Femme,Marseille,52,44401.76,Moyen,"Actions, ETF, Fundraising",Épargne de sécurité,Finance,Trimestriel,ETF
Guillaume Bernard,Femme,Bordeaux,31,35473.54,Moyen,"Obligations, Actions, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
ThÃ©rÃ¨se Roche-Regnier,Femme,Lyon,65,90234.5,Moyen,"ETF, Obligations",Retraite,Industrie,Trimestriel,Obligations
SÃ©bastien Lopez,Femme,Marseille,51,86273.39,Moyen,"Cryptomonnaies, ETF",Retraite,Agriculture,Trimestriel,Obligations
Richard Rodrigues,Femme,Nice,35,45963.43,Moyen,"MatiÃ¨res premiÃ¨res, ETF, Immobilier",Achat immobilier,Finance,Trimestriel,ETF
Adrien-Gilbert Masse,Femme,Lille,28,29839.7,Moyen,"Actions, ETF",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Victor Bouchet,Homme,Nice,44,76386.46,Élevé,"Actions, ETF, Obligations",Retraite,Santé,Trimestriel,Actions
Thibaut du Gaudin,Homme,Paris,45,71648.72,Moyen,"Cryptomonnaies, Actions, Obligations",éducation des enfants,Technologie,Trimestriel,ETF
Charles Le Pires,Femme,Paris,29,65435.91,Élevé,"Actions, Matières premières, ETF",Voyages,Technologie,Trimestriel,ETF
Josette Mahe,Femme,Lyon,60,139762.79,Élevé,"Immobilier, Actions, ETF, Obligations",Retraite,Santé,Mensuel,Actions
Thibaut Delannoy-Muller,Homme,Marseille,28,44893.01,Élevé,"MatiÃ¨res premiÃ¨res, Actions, Obligations",épargne de départ,Immobilier,Annuel,Immobilier
FranÃ§oise Benoit,Homme,Nantes,63,76363.29,Moyen,ETF,Retraite,Immobilier,Trimestriel,Immobilier
Pauline Potier,Femme,Lyon,25,24140.99,Moyen,"Investissement Socialement Responsable, Matières premières, Actions",épargne de départ,Consommation,Trimestriel,Obligations
Laetitia Le Gall de la Gaudin,Homme,Lyon,38,57534.48,Moyen,"Actions, Obligations",Achat immobilier,Santé,Trimestriel,ETF
Ã‰douard Bertin,Homme,Paris,31,39073.15,Moyen,"Obligations, Immobilier",épargne de départ,Industrie,Trimestriel,Obligations
Isaac Perrier,Homme,Paris,38,58489.25,Moyen,"ETF, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Paul-Daniel Lagarde,Femme,Paris,56,64075.57,Moyen,"ETF, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Marthe HervÃ©,Homme,Bordeaux,25,39516.64,Élevé,"Cryptomonnaies, Actions, Obligations",épargne de départ,Immobilier,Annuel,Immobilier
Roger MarÃ©chal,Femme,Nantes,38,52394.76,Moyen,"Cryptomonnaies, ETF, Startups",Retraite,Immobilier,Trimestriel,Immobilier
GrÃ©goire Texier,Homme,Montpellier,49,75447.64,Moyen,"Immobilier, Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Jules-Thibaut Pereira,Homme,Paris,37,78886.86,Élevé,"Obligations, Matières premières, ETF, Startups",éducation des enfants,Technologie,Trimestriel,Actions
Christine Descamps,Homme,Lyon,25,33890.22,Élevé,"Obligations, Actions, ETF, Immobilier",épargne de départ,Agriculture,Annuel,Obligations
BenoÃ®t Becker,Homme,Nice,55,90708.25,Moyen,"Cryptomonnaies, Immobilier",Épargne de sécurité,Santé,Trimestriel,ETF
Gilles Paris,Femme,Toulouse,50,52117.34,Moyen,"Actions, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Lorraine Millet,Femme,Marseille,42,29469.32,Moyen,Actions,Retraite,Technologie,Trimestriel,ETF
Christelle Vincent-Garnier,Homme,Lille,32,8839.03,Moyen,"Investissement Socialement Responsable, Actions, Fundraising",épargne de départ,Agriculture,Trimestriel,Obligations
Alphonse Adam du Denis,Femme,Paris,42,64489.32,Moyen,"MatiÃ¨res premiÃ¨res, ETF",Retraite,Industrie,Trimestriel,Obligations
Laurence Allain,Homme,Strasbourg,49,57572.04,Moyen,"Actions, ETF, Obligations",Retraite,Finance,Trimestriel,ETF
Marie Launay,Femme,Toulouse,25,27242.58,Moyen,"MatiÃ¨res premiÃ¨res, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
TimothÃ©e Maury du Verdier,Homme,Nice,32,52623,Élevé,"Startups, Actions, Obligations",épargne de départ,Finance,Trimestriel,ETF
Ã‰ric Allain,Femme,Paris,37,59375.69,Élevé,"MatiÃ¨res premiÃ¨res, ETF",Retraite,Technologie,Trimestriel,Actions
Thibaut LÃ©ger,Homme,Bordeaux,50,60691.85,Moyen,"Actions, ETF, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
William Chevallier,Femme,Nantes,50,43649.97,Moyen,"Actions, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Christophe Bernier,Femme,Nantes,34,34116.36,Moyen,"Cryptomonnaies, Actions",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Camille Torres,Homme,Lyon,36,62999.02,Élevé,"Actions, Obligations",Retraite,Santé,Trimestriel,Actions
FranÃ§ois Bonnin de la LefÃ¨vre,Femme,Paris,49,71071.33,Moyen,Immobilier,éducation des enfants,Immobilier,Trimestriel,Immobilier
GrÃ©goire Fischer-Fernandes,Femme,Paris,34,54622.43,Élevé,"Actions, ETF, Immobilier",Voyages,Santé,Trimestriel,ETF
Yves Klein,Homme,Paris,46,133412.98,Élevé,"Cryptomonnaies, Actions, ETF",Retraite,Finance,Mensuel,Actions
Denise Le Gauthier,Homme,Paris,25,34126.78,Élevé,"Actions, Matières premières, Obligations",Investir dans l'éducation,Agriculture,Annuel,Obligations
VÃ©ronique Gilbert-Menard,Femme,Marseille,25,26881,Moyen,"Actions, Obligations",Investir dans l'éducation,Industrie,Trimestriel,Obligations
Julien Germain,Homme,Montpellier,31,38054.69,Moyen,Actions,Voyages,Consommation,Trimestriel,Obligations
JosÃ©phine Carpentier,Femme,Lille,66,44581.84,Faible,"MatiÃ¨res premiÃ¨res, Actions",Retraite,Immobilier,Annuel,Immobilier
Martin Poulain,Homme,Paris,51,101917.43,Élevé,"Actions, ETF, Immobilier",Retraite,Finance,Mensuel,Actions
Joseph Gauthier,Homme,Toulouse,47,41079.06,Moyen,"Startups, Actions, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
Vincent Merle,Femme,Paris,40,53167.94,Moyen,"Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Emmanuelle de Germain,Homme,Marseille,25,32590.99,Élevé,"Startups, ETF, Obligations",Investir dans l'éducation,Consommation,Annuel,Obligations
Antoinette Martel-Chauveau,Homme,Bordeaux,37,42098.99,Moyen,"Cryptomonnaies, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Charles-David Hoareau,Homme,Marseille,41,41761.85,Moyen,"Immobilier, Obligations",Achat immobilier,Finance,Trimestriel,Actions
Laetitia Boulay,Femme,Marseille,41,42667.61,Moyen,"Obligations, ETF, Immobilier",Retraite,Santé,Trimestriel,ETF
Ã‰ric Le Vidal,Femme,Lyon,46,81065.9,Élevé,"Actions, Obligations",Achat immobilier,Technologie,Mensuel,ETF
Pierre Hamel,Homme,Lille,27,21950.44,Moyen,"Actions, Fundraising",Investir dans l'éducation,Consommation,Trimestriel,Obligations
ValÃ©rie Mary,Homme,Montpellier,54,56464.14,Moyen,"Obligations, Actions, Immobilier",Retraite,Finance,Trimestriel,ETF
Thibaut Vincent,Femme,Toulouse,27,6134.58,Moyen,"Immobilier, ETF, Startups",Voyages,Industrie,Trimestriel,Obligations
Christiane Bonnet,Homme,Marseille,44,38518.31,Moyen,"Actions, Obligations",éducation des enfants,Industrie,Trimestriel,Obligations
Marine Gallet,Homme,Paris,46,44243.9,Moyen,"MatiÃ¨res premiÃ¨res, ETF",Retraite,Finance,Trimestriel,ETF
Victor Fernandes,Femme,Nantes,57,66215.02,Moyen,"Cryptomonnaies, Investissement Socialement Responsable, ETF",Retraite,Finance,Trimestriel,ETF
Maryse Valentin,Homme,Lille,66,62758,Moyen,"Cryptomonnaies, Actions",Retraite,Agriculture,Trimestriel,Obligations
Patrick Allard,Homme,Toulouse,32,32815.03,Moyen,"Startups, Immobilier",épargne de départ,Agriculture,Trimestriel,Obligations
Michelle Colin,Homme,Paris,26,39793.18,Élevé,"Immobilier, Actions, ETF, Obligations",épargne de départ,Agriculture,Annuel,Obligations
Monique-RenÃ©e Charles,Femme,Marseille,44,33552.89,Moyen,"Cryptomonnaies, Matières premières",éducation des enfants,Agriculture,Trimestriel,Obligations
Margot Delorme,Femme,Toulouse,33,24782.23,Moyen,"Cryptomonnaies, Obligations, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
Adrien Aubert,Homme,Lyon,28,46354.1,Élevé,"Startups, Obligations",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Margaux Jacques Le Hebert,Homme,Paris,37,56522.16,Moyen,"Cryptomonnaies, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Gabriel Jacquet,Homme,Paris,42,49180.06,Moyen,"Actions, Immobilier",éducation des enfants,Technologie,Trimestriel,ETF
Paul du Blin,Homme,Paris,34,51933.91,Moyen,"Obligations, Fundraising",Investir dans l'éducation,Finance,Trimestriel,Actions
Paulette Jacquot de Barthelemy,Femme,Paris,26,38964.67,Élevé,"Cryptomonnaies, ETF, Immobilier",Voyages,Industrie,Annuel,Obligations
Suzanne Dos Santos,Femme,Paris,51,93093.87,Élevé,Actions,Retraite,Santé,Mensuel,ETF
Robert Barbier Le Giraud,Homme,Paris,55,129843.42,Élevé,Obligations,Épargne de sécurité,Technologie,Mensuel,ETF
Louise Muller,Femme,Paris,27,31013,Moyen,Actions,Investir dans l'éducation,Consommation,Trimestriel,Obligations
William Foucher,Femme,Nantes,34,44137.08,Moyen,"Actions, Matières premières",Voyages,Immobilier,Trimestriel,Immobilier
Chantal Godard,Femme,Toulouse,28,44128.66,Élevé,"Investissement Socialement Responsable, Matières premières, Cryptomonnaies, ETF, Obligations",épargne de départ,Technologie,Annuel,ETF
Henriette Marin,Femme,Nice,39,74375.53,Élevé,"Immobilier, Actions, Obligations",Retraite,Technologie,Trimestriel,Startups
Martin Meyer,Femme,Marseille,35,31710.29,Moyen,"Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Roland Verdier,Homme,Paris,39,80202.84,Élevé,"Cryptomonnaies, Actions, ETF",éducation des enfants,Technologie,Mensuel,Startups
Anastasie Dumont Le Besnard,Femme,Lyon,39,75805.24,Élevé,"Actions, ETF, Obligations",Retraite,Finance,Trimestriel,Actions
ZoÃ© Laine,Femme,Paris,32,49423.68,Élevé,"Startups, Actions, ETF, Fundraising",Investir dans l'éducation,Finance,Annuel,ETF
FrÃ©dÃ©ric Joly,Homme,Paris,58,99767.69,Moyen,"Cryptomonnaies, Matières premières",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Joseph Guilbert,Femme,Lyon,25,38368.01,Élevé,"Cryptomonnaies, ETF, Immobilier",épargne de départ,Immobilier,Annuel,Immobilier
Alexandrie Bouchet de Brunel,Femme,Lyon,35,41088.23,Moyen,"MatiÃ¨res premiÃ¨res, Actions",Retraite,Santé,Trimestriel,ETF
Pauline Jacquet de la Fournier,Homme,Nice,36,51812.28,Moyen,"Actions, Obligations",éducation des enfants,Technologie,Trimestriel,ETF
Marthe Masson,Homme,Lyon,50,120919.74,Élevé,"MatiÃ¨res premiÃ¨res, Actions, ETF, Obligations",Retraite,Finance,Mensuel,Actions
BenoÃ®t du Leconte,Femme,Lyon,50,87161.56,Moyen,"Startups, Obligations, Immobilier",Retraite,Technologie,Trimestriel,ETF
David Petit,Femme,Paris,60,131077.4,Élevé,"Cryptomonnaies, Matières premières, Obligations",Retraite,Technologie,Mensuel,Actions
Tristan Gomez-Philippe,Homme,Marseille,44,97648.05,Élevé,"Actions, ETF, Startups",Retraite,Finance,Mensuel,ETF
Roland-Bernard Dupont,Homme,Paris,57,114799.06,Élevé,"Actions, Matières premières, Obligations",Retraite,Technologie,Mensuel,Actions
AimÃ© Bazin,Femme,Lyon,36,61403.89,Élevé,"Obligations, Actions, Immobilier",Retraite,Finance,Trimestriel,ETF
Alphonse LemaÃ®tre,Femme,Marseille,58,47370.32,Moyen,Cryptomonnaies,Retraite,Agriculture,Trimestriel,Obligations
Margot Richard,Femme,Lille,44,47572.7,Moyen,"Cryptomonnaies, Actions",Achat immobilier,Immobilier,Trimestriel,Immobilier
NoÃ«l Gautier,Femme,Lyon,43,69335.69,Moyen,"Immobilier, Matières premières, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Xavier Auger,Homme,Toulouse,60,70051.62,Moyen,"Immobilier, Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Emmanuel Alexandre,Femme,Montpellier,58,106694.47,Élevé,"Obligations, Actions, Immobilier",Retraite,Technologie,Mensuel,ETF
AimÃ© de Lenoir,Femme,Paris,49,85169.59,Moyen,"Cryptomonnaies, ETF",Achat immobilier,Immobilier,Trimestriel,Immobilier
Margaux Pottier,Femme,Montpellier,59,68441.04,Moyen,"Actions, Obligations",Épargne de sécurité,Consommation,Trimestriel,Obligations
Arthur Dupont-Bernard,Homme,Nice,25,18166.23,Moyen,"Cryptomonnaies, Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Claudine Le Dubois,Homme,Nice,44,65565.23,Moyen,"Cryptomonnaies, Actions, Fundraising",éducation des enfants,Technologie,Trimestriel,ETF
AimÃ© Reynaud,Femme,Nice,42,71314.48,Élevé,"Actions, Investissement Socialement Responsable, Immobilier",Achat immobilier,Santé,Trimestriel,Actions
PÃ©nÃ©lope Louis Le Marin,Femme,Lyon,49,89969.51,Élevé,"Actions, ETF, Startups",éducation des enfants,Finance,Mensuel,ETF
Caroline Le Gilbert,Homme,Paris,50,87366.6,Moyen,"Actions, Obligations",Épargne de sécurité,Agriculture,Trimestriel,Obligations
Maurice Boucher,Femme,Paris,41,69229.7,Élevé,"Actions, ETF",Achat immobilier,Santé,Trimestriel,Actions
PÃ©nÃ©lope Pruvost,Femme,Marseille,40,50141.57,Moyen,Immobilier,éducation des enfants,Finance,Trimestriel,Actions
Corinne Breton,Femme,Paris,31,32994.34,Moyen,"Cryptomonnaies, Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Henriette Lebreton-Ã‰tienne,Homme,Strasbourg,41,50937.82,Moyen,"Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Nicolas Boutin de Bourdon,Femme,Lyon,54,159556.71,Élevé,"Cryptomonnaies, Fundraising, Obligations",Retraite,Technologie,Mensuel,Actions
Sylvie Richard de la Pruvost,Homme,Nantes,55,24490.86,Faible,Actions,Retraite,Immobilier,Annuel,Immobilier
Julien Simon,Femme,Paris,25,43913.77,Élevé,"Cryptomonnaies, Actions, ETF, Obligations",épargne de départ,Santé,Annuel,ETF
Georges Andre-Maurice,Homme,Nice,39,55586.17,Moyen,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Finance,Trimestriel,ETF
AurÃ©lie Olivier,Femme,Marseille,27,18481.8,Moyen,"Actions, Obligations",épargne de départ,Consommation,Trimestriel,Obligations
Alix-AdÃ¨le Descamps,Homme,Paris,36,53221.04,Moyen,"Actions, Obligations",Retraite,Technologie,Trimestriel,ETF
Roland Munoz,Femme,Nice,50,134743.13,Élevé,"MatiÃ¨res premiÃ¨res, Actions, ETF, Obligations",Retraite,Technologie,Mensuel,ETF
Alix de la Berger,Femme,Paris,44,72993.93,Moyen,"Actions, Obligations",Achat immobilier,Finance,Trimestriel,ETF
VÃ©ronique Lopes,Homme,Paris,42,54456.49,Moyen,Actions,Achat immobilier,Finance,Trimestriel,Actions
Emmanuelle Marty,Femme,Marseille,43,57476.81,Moyen,"Actions, Immobilier",éducation des enfants,Santé,Trimestriel,ETF
Marcel Bourdon,Homme,Lyon,59,29358.31,Faible,"Cryptomonnaies, ETF",Épargne de sécurité,Immobilier,Annuel,Immobilier
Adrien de la Guilbert,Homme,Toulouse,46,43986.99,Moyen,"Actions, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Claude Legros de la Gimenez,Homme,Toulouse,44,47619.66,Moyen,"Actions, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Daniel Maury-Vincent,Homme,Paris,51,88245.15,Moyen,"Obligations, ETF, Immobilier",Retraite,Santé,Trimestriel,ETF
AnaÃ¯s Maury,Homme,Nice,32,65196.87,Élevé,"Actions, ETF, Immobilier",Investir dans l'éducation,Santé,Trimestriel,Actions
Odette Lopes,Homme,Nice,32,69719.45,Élevé,"Startups, Actions, ETF, Obligations",épargne de départ,Finance,Trimestriel,Actions
SÃ©bastien du Buisson,Femme,Paris,50,89367.91,Élevé,"Actions, Obligations",Retraite,Santé,Mensuel,ETF
Claude-Anne Hernandez,Femme,Paris,36,72798.35,Élevé,"Cryptomonnaies, Actions, Fundraising, Obligations",Achat immobilier,Technologie,Trimestriel,Cryptomonnaies
Augustin du LÃ©vy,Homme,Paris,39,33013.37,Moyen,"Startups, Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Christine Klein de la Carre,Homme,Strasbourg,67,66765.55,Moyen,"Obligations, Startups",Épargne de sécurité,Technologie,Trimestriel,ETF
BenoÃ®t Lecomte,Femme,Lyon,56,119484.89,Élevé,"Actions, Obligations",Retraite,Technologie,Mensuel,ETF
GÃ©rard-StÃ©phane Dos Santos,Homme,Toulouse,37,67226.7,Élevé,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Finance,Trimestriel,Actions
David Lebreton,Femme,Lyon,45,60364.7,Moyen,"Actions, ETF",Retraite,Consommation,Trimestriel,Obligations
Dominique Delannoy,Homme,Bordeaux,37,59632.76,Élevé,"Immobilier, Obligations",Achat immobilier,Technologie,Trimestriel,ETF
Roger Mallet,Homme,Toulouse,35,55580.58,Élevé,"Cryptomonnaies, Actions, Matières premières, Obligations",Retraite,Santé,Trimestriel,Actions
Paulette Nguyen,Homme,Paris,47,79094.39,Moyen,"Cryptomonnaies, Actions, ETF",Retraite,Industrie,Trimestriel,Obligations
Audrey Chauvet,Femme,Paris,25,26168.81,Moyen,"Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Claude Carpentier,Femme,Paris,25,30056.84,Moyen,"Immobilier, Startups",épargne de départ,Immobilier,Trimestriel,Immobilier
Olivie Pruvost,Femme,Strasbourg,44,53795.45,Moyen,"Actions, Immobilier",Retraite,Finance,Trimestriel,ETF
FranÃ§oise Le Roux,Homme,Nantes,33,53571.9,Élevé,"Cryptomonnaies, Actions, ETF, Immobilier",épargne de départ,Finance,Trimestriel,ETF
David Olivier,Femme,Montpellier,29,27005.16,Moyen,"Immobilier, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Augustin Imbert,Femme,Nice,56,136803.13,Élevé,"Immobilier, Obligations, Startups",Épargne de sécurité,Technologie,Mensuel,Actions
AimÃ© du Bousquet,Homme,Paris,37,63313.64,Élevé,"Cryptomonnaies, Actions, Matières premières",Achat immobilier,Technologie,Trimestriel,ETF
Antoine-Jules Meunier,Homme,Nice,35,63048.86,Élevé,"Cryptomonnaies, Matières premières, ETF",éducation des enfants,Santé,Trimestriel,ETF
Hortense Charles,Femme,Paris,54,65048.28,Moyen,"Cryptomonnaies, ETF",Épargne de sécurité,Finance,Trimestriel,ETF
